n   error 
3   0.00000000000000000000000000000000000      
4   5.55555555555555555555555555555555469E-0002
5   6.24999925494194030761718750000000000E-0002
6   6.00000000000000000000000000000000282E-0002
7   5.55555058850182427300347222222222055E-0002
8   5.10203911333667988679846938775509922E-0002
9   4.68749832361936569213867187500000000E-0002
10   4.32099212466934580861786265432098577E-0002
11   3.99999381601810455322265625000000260E-0002
12   3.71900779033495374947540030991735650E-0002
13   3.47222898983293109469943576388888702E-0002
14   3.25443397259571143155972633136094945E-0002
15   3.06122401083002285081513073979591581E-0002
16   2.88889579309357537163628472222222237E-0002
17   2.73435967974364757537841796875000000E-0002
18   2.59515553403478180248432093425605651E-0002
19   2.46911500293163605678228684413580008E-0002
20   2.35454922650329293966953774238227191E-0002
21   2.24999735504388809204101562500000246E-0002
22   2.15418523688570442113205959467119920E-0002
23   2.06613866381408754459097365702479461E-0002
24   1.98485051512380178123430854206049412E-0002
25   1.90971359196636411878797743055555348E-0002
26   1.84002278387546539306640625000000033E-0002
27   1.77514247001099163258569480399408536E-0002
28   1.71467322544469427833504801097393726E-0002
29   1.65819375946813700150470344387754810E-0002
30   1.60524061483449516341745782550535014E-0002
31   1.55555156949493620130750868055555531E-0002
32   1.50886750920568122824074450442247531E-0002
33   1.46485863951966166496276855468750000E-0002
34   1.42334548635040542420386392332415163E-0002
35   1.38415286130558660698596993944636772E-0002
36   1.34697437864177081049705038265305984E-0002
37   1.31167486988375952214370539158950395E-0002
38   1.27826390109025622215298860938641546E-0002
39   1.24651294155175335849751395862188400E-0002
40   1.21625869214671916823728863617685589E-0002
41   1.18746633268892765045166015625000257E-0002
42   1.16006425110393872507833994831945425E-0002
43   1.13383600416502444381886869331065511E-0002
44   1.10863679783240468389862869287452371E-0002
45   1.08466257325812312197094121255165407E-0002
46   1.06174145427383022543824749228395238E-0002
47   1.03983620026752718905645417355860385E-0002
48   1.01866355379170667752792199524671675E-0002
49   9.98259080936097436481051974826386866E-0003
50   9.78773797255960517702178128904621625E-0003
51   9.59990869313478469848632812500000679E-0003
52   9.42015364373683562786567215734330711E-0003
53   9.24551044177462363384179109652369258E-0003
54   9.07905154320089449531117891153434652E-0003
55   8.91608589894773211171761134687929026E-0003
